feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
ciudad_Clarksville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Inglis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Panacea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Callahan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Fanning Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_PANAMA CITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lorida,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Holly Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Leesburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Tarpon Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Mangonia Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Fort Meade,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Chokoloskee Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Holt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_FORT LAUDERDALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Intercession City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Greenwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Umatilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Zephyrhills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Zellwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_MIAMI SHORES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Glen Saint Mary,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_St. Cloud,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Palm Beach Shores,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_TERRA CEIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Bokeelia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Ponce De Leon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cortez,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Ona,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Baldwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Hallandale,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Mascotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Sanderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Bascom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Altoona,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Longwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Mc Alpin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_PORT ST LUCIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_PALATKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Fort Denaud,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Frostproof,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Belle Isle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Layton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Marco island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Orange City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_North Hutchinson Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cantonment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Key largo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_White Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Havana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Ormond Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_North miami beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0
